Time,RPM
7.816,2475.98535897827
7.817,2476.22546629918
7.818,2476.46557513855
7.819,2476.70568549452
7.82,2476.94579736522
7.821,2477.18591074877
7.822,2477.42602564331
7.823,2477.66614204696
7.824,2477.90625995786
7.825,2478.14637937413
7.826,2478.38650029391
7.827,2478.62662271533
7.828,2478.86674663651
7.829,2479.10687205558
7.83,2479.34699897068
7.831,2479.58712737993
7.832,2479.82725728147
7.833,2480.06738867342
7.834,2480.30752155392
7.835,2480.54765592109
7.836,2480.78779177306
7.837,2481.02792910797
7.838,2481.26806792395
7.839,2481.50820821912
7.84,2481.74834999161
7.841,2481.98849323955
7.842,2482.22863796108
7.843,2482.46878415432
7.844,2482.70893181741
7.845,2482.94908094847
7.846,2483.18923154563
7.847,2483.42938360703
7.848,2483.66953713079
7.849,2483.90969211504
7.85,2484.14984855791
7.851,2484.39000645754
7.852,2484.63016581205
7.853,2484.87032661958
7.854,2485.11048887824
7.855,2485.35065258618
7.856,2485.59081774152
7.857,2485.8309843424
7.858,2486.07115238693
7.859,2486.31132187326
7.86,2486.55149279951
7.861,2486.79166516381
7.862,2487.0318389643
7.863,2487.27201419909
7.864,2487.51219086633
7.865,2487.75236896414
7.866,2487.99254849065
7.867,2488.23272944399
7.868,2488.47291182229
7.869,2488.71309562368
7.87,2488.9532808463
7.871,2489.19346748827
7.872,2489.43365554771
7.873,2489.67384502277
7.874,2489.91403591157
7.875,2490.15422821224
7.876,2490.39442192291
7.877,2490.63461704171
7.878,2490.87481356677
7.879,2491.11501149622
7.88,2491.35521082819
7.881,2491.59541156081
7.882,2491.83561369221
7.883,2492.07581722052
7.884,2492.31602214387
7.885,2492.55622846039
7.886,2492.79643616821
7.887,2493.03664526546
7.888,2493.27685575027
7.889,2493.51706762077
7.89,2493.75728087509
7.891,2493.99749551136
7.892,2494.2377115277
7.893,2494.47792892226
7.894,2494.71814769315
7.895,2494.95836783851
7.896,2495.19858935648
7.897,2495.43881224517
7.898,2495.67903650271
7.899,2495.91926212725
7.9,2496.15948911691
7.901,2496.39971746981
7.902,2496.63994718409
7.903,2496.88017825788
7.904,2497.12041068931
7.905,2497.36064447651
7.906,2497.6008796176
7.907,2497.84111611072
7.908,2498.081353954
7.909,2498.32159314556
7.91,2498.56183368355
7.911,2498.80207556608
7.912,2499.04231879129
7.913,2499.2825633573
7.914,2499.52280926225
7.915,2499.76305650427
7.916,2500.00330508149
7.917,2500.24355499203
7.918,2500.48380623403
7.919,2500.72405880562
7.92,2500.96431270492
7.921,2501.20456793007
7.922,2501.4448244792
7.923,2501.68508235043
7.924,2501.92534154189
7.925,2502.16560205173
7.926,2502.40586387806
7.927,2502.64612701901
7.928,2502.88639147272
7.929,2503.12665723732
7.93,2503.36692431093
7.931,2503.60719269169
7.932,2503.84746237772
7.933,2504.08773336716
7.934,2504.32800565814
7.935,2504.56827924878
7.936,2504.80855413721
7.937,2505.04883032157
7.938,2505.28910779998
7.939,2505.52938657058
7.94,2505.76966663149
7.941,2506.00994798085
7.942,2506.25023061678
7.943,2506.49051453742
7.944,2506.73079974089
7.945,2506.97108622532
7.946,2507.21137398885
7.947,2507.4516630296
7.948,2507.69195334571
7.949,2507.9322449353
7.95,2508.17253779651
7.951,2508.41283192745
7.952,2508.65312732627
7.953,2508.8934239911
7.954,2509.13372192006
7.955,2509.37402111128
7.956,2509.61432156289
7.957,2509.85462327303
7.958,2510.09492623982
7.959,2510.33523046139
7.96,2510.57553593588
7.961,2510.81584266141
7.962,2511.05615063611
7.963,2511.29645985811
7.964,2511.53677032555
7.965,2511.77708203655
7.966,2512.01739498924
7.967,2512.25770918175
7.968,2512.49802461222
7.969,2512.73834127877
7.97,2512.97865917952
7.971,2513.21897831262
7.972,2513.4592986762
7.973,2513.69962026837
7.974,2513.93994308728
7.975,2514.18026713104
7.976,2514.4205923978
7.977,2514.66091888568
7.978,2514.90124659281
7.979,2515.14157551732
7.98,2515.38190565734
7.981,2515.62223701101
7.982,2515.86256957644
7.983,2516.10290335178
7.984,2516.34323833514
7.985,2516.58357452467
7.986,2516.82391191848
7.987,2517.06425051472
7.988,2517.30459031151
7.989,2517.54493130697
7.99,2517.78527349925
7.991,2518.02561688647
7.992,2518.26596146675
7.993,2518.50630723824
7.994,2518.74665419905
7.995,2518.98700234733
7.996,2519.2273516812
7.997,2519.46770219878
7.998,2519.70805389821
7.999,2519.94840677762
8,2520.18876083515
8.001,2520.42911606891
8.002,2520.66947247704
8.003,2520.90983005767
8.004,2521.15018880892
8.005,2521.39054872894
8.006,2521.63090981584
8.007,2521.87127206776
8.008,2522.11163548284
8.009,2522.35200005919
8.01,2522.59236579494
8.011,2522.83273268824
8.012,2523.0731007372
8.013,2523.31346993996
8.014,2523.55384029465
8.015,2523.7942117994
8.016,2524.03458445233
8.017,2524.27495825159
8.018,2524.51533319529
8.019,2524.75570928156
8.02,2524.99608650855
8.021,2525.23646487437
8.022,2525.47684437715
8.023,2525.71722501504
8.024,2525.95760678615
8.025,2526.19798968862
8.026,2526.43837372058
8.027,2526.67875888015
8.028,2526.91914516547
8.029,2527.15953257466
8.03,2527.39992110586
8.031,2527.6403107572
8.032,2527.8807015268
8.033,2528.1210934128
8.034,2528.36148641333
8.035,2528.60188052651
8.036,2528.84227575048
8.037,2529.08267208336
8.038,2529.32306952329
8.039,2529.56346806839
8.04,2529.8038677168
8.041,2530.04426846665
8.042,2530.28467031606
8.043,2530.52507326316
8.044,2530.76547730609
8.045,2531.00588244297
8.046,2531.24628867194
8.047,2531.48669599113
8.048,2531.72710439866
8.049,2531.96751389266
8.05,2532.20792447127
8.051,2532.44833613261
8.052,2532.68874887482
8.053,2532.92916269602
8.054,2533.16957759434
8.055,2533.40999356792
8.056,2533.65041061489
8.057,2533.89082873336
8.058,2534.13124792148
8.059,2534.37166817738
8.06,2534.61208949917
8.061,2534.852511885
8.062,2535.092935333
8.063,2535.33335984129
8.064,2535.573785408
8.065,2535.81421203126
8.066,2536.05463970921
8.067,2536.29506843997
8.068,2536.53549822167
8.069,2536.77592905245
8.07,2537.01636093042
8.071,2537.25679385373
8.072,2537.49722782051
8.073,2537.73766282887
8.074,2537.97809887696
8.075,2538.2185359629
8.076,2538.45897408482
8.077,2538.69941324085
8.078,2538.93985342913
8.079,2539.18029464777
8.08,2539.42073689492
8.081,2539.6611801687
8.082,2539.90162446725
8.083,2540.14206978868
8.084,2540.38251613113
8.085,2540.62296349274
8.086,2540.86341187163
8.087,2541.10386126592
8.088,2541.34431167376
8.089,2541.58476309327
8.09,2541.82521552258
8.091,2542.06566895982
8.092,2542.30612340313
8.093,2542.54657885062
8.094,2542.78703530043
8.095,2543.02749275069
8.096,2543.26795119954
8.097,2543.50841064509
8.098,2543.74887108548
8.099,2543.98933251885
8.1,2544.22979494331
8.101,2544.470258357
8.102,2544.71072275805
8.103,2544.9511881446
8.104,2545.19165451476
8.105,2545.43212186667
8.106,2545.67259019846
8.107,2545.91305950826
8.108,2546.1535297942
8.109,2546.3940010544
8.11,2546.63447328701
8.111,2546.87494649015
8.112,2547.11542066194
8.113,2547.35589580052
8.114,2547.59637190402
8.115,2547.83684897057
8.116,2548.0773269983
8.117,2548.31780598534
8.118,2548.55828592981
8.119,2548.79876682985
8.12,2549.03924868359
8.121,2549.27973148916
8.122,2549.52021524469
8.123,2549.7606999483
8.124,2550.00118559813
8.125,2550.24167219231
8.126,2550.48215972897
8.127,2550.72264820623
8.128,2550.96313762223
8.129,2551.2036279751
8.13,2551.44411926297
8.131,2551.68461148396
8.132,2551.92510463621
8.133,2552.16559871784
8.134,2552.40609372699
8.135,2552.64658966179
8.136,2552.88708652037
8.137,2553.12758430085
8.138,2553.36808300137
8.139,2553.60858262005
8.14,2553.84908315503
8.141,2554.08958460444
8.142,2554.3300869664
8.143,2554.57059023905
8.144,2554.81109442052
8.145,2555.05159950893
8.146,2555.29210550241
8.147,2555.5326123991
8.148,2555.77312019713
8.149,2556.01362889462
8.15,2556.25413848971
8.151,2556.49464898052
8.152,2556.73516036519
8.153,2556.97567264184
8.154,2557.2161858086
8.155,2557.45669986362
8.156,2557.697214805
8.157,2557.93773063089
8.158,2558.17824733942
8.159,2558.41876492871
8.16,2558.65928339689
8.161,2558.8998027421
8.162,2559.14032296246
8.163,2559.38084405611
8.164,2559.62136602117
8.165,2559.86188885577
8.166,2560.10241255805
8.167,2560.34293712613
